accession,annotation_type,lab.title,status,date_released,assembly,encyclopedia_version,description
ENCSR376PNX,footprints,"Alan Boyle, University of Michigan",released,2022-11-30,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA1656.1 in GM12878
ENCSR741UQI,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA1655.1 in GM12878
ENCSR753RRJ,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA1654.1 in GM12878
ENCSR359PNY,footprints,"Alan Boyle, University of Michigan",released,2022-12-05,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA1653.1 in GM12878
ENCSR228UZG,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA1652.1 in GM12878
ENCSR460QCR,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA1651.1 in GM12878
ENCSR514EHL,footprints,"Alan Boyle, University of Michigan",released,2022-12-05,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA1650.1 in GM12878
ENCSR965YKA,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA1649.1 in GM12878
ENCSR767MEI,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA1646.1 in GM12878
ENCSR075RMT,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA1645.1 in GM12878
ENCSR432HHV,footprints,"Alan Boyle, University of Michigan",released,2022-12-06,GRCh38,,TRACE ATAC-seq footprint calls with PWM MA1644.1 in GM12878
