accession,annotation_type,lab.title,status,date_released,assembly,encyclopedia_version,description
ENCSR107LAV,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_GABPA_signal_p-value in GM12878 nuclear fraction (J230) at 25bp resolution.
ENCSR506OKN,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_FOXK2_signal_p-value in GM12878 nuclear fraction (J230) at 25bp resolution.
ENCSR605BOY,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_FOXA1_signal_p-value in GM12878 nuclear fraction (J230) at 25bp resolution.
ENCSR385PGA,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,ENCODE v5; current,avocado:encode2018core-hg38 imputations of ChIP-seq_EZH2phosphoT487_signal_p-value in GM12878 nuclear fraction (J230) at 25bp resolution.
ENCSR120TEH,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_EZH2_signal_p-value in GM12878 nuclear fraction (J230) at 25bp resolution.
ENCSR279YLP,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_ETS1_signal_p-value in GM12878 nuclear fraction (J230) at 25bp resolution.
ENCSR002OET,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_EP300_signal_p-value in GM12878 nuclear fraction (J230) at 25bp resolution.
ENCSR210XHR,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_ELK1_signal_p-value in GM12878 nuclear fraction (J230) at 25bp resolution.
ENCSR853DAD,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,ENCODE v5; current,avocado:encode2018core-hg38 imputations of ChIP-seq_ELF1_signal_p-value in GM12878 nuclear fraction (J230) at 25bp resolution.
ENCSR033DWA,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_EGR1_signal_p-value in GM12878 nuclear fraction (J230) at 25bp resolution.
ENCSR802AEB,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_CTCF_signal_p-value in GM12878 nuclear fraction (J230) at 25bp resolution.
ENCSR446ETD,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_CHD2_signal_p-value in GM12878 nuclear fraction (J230) at 25bp resolution.
ENCSR921TNL,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_CEBPB_signal_p-value in GM12878 nuclear fraction (J230) at 25bp resolution.
ENCSR520LMG,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_BHLHE40_signal_p-value in GM12878 nuclear fraction (J230) at 25bp resolution.
ENCSR910EXL,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_ATF3_signal_p-value in GM12878 nuclear fraction (J230) at 25bp resolution.
ENCSR701DRS,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of CAGE_plus_strand_signal_of_all_reads in GM12878 nuclear fraction (J230) at 25bp resolution.
ENCSR330SQY,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of CAGE_minus_strand_signal_of_all_reads in GM12878 nuclear fraction (J230) at 25bp resolution.
ENCSR690YKD,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ATAC-seq_signal_p-value in GM12878 nuclear fraction (J230) at 25bp resolution.
ENCSR352JKT,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of total_RNA-seq_plus_strand_signal_of_all_reads in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR441USX,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of total_RNA-seq_minus_strand_signal_of_all_reads in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR997MOF,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of small_RNA-seq_plus_strand_signal_of_all_reads in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR929UKZ,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of small_RNA-seq_minus_strand_signal_of_all_reads in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR183HVO,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of polyA_depleted_RNA-seq_plus_strand_signal_of_all_reads in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR566FGK,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of polyA_depleted_RNA-seq_minus_strand_signal_of_all_reads in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR049NLD,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of polyA_RNA-seq_plus_strand_signal_of_all_reads in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR307MJL,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of polyA_RNA-seq_minus_strand_signal_of_all_reads in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR425ERA,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of microRNA-seq_plus_strand_signal_of_all_reads in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR990PDR,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of microRNA-seq_minus_strand_signal_of_all_reads in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR084ZQJ,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of RAMPAGE_plus_strand_signal_of_all_reads in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR181EXA,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of RAMPAGE_minus_strand_signal_of_all_reads in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR376FOR,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of DNase-seq_read-depth_normalized_signal in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR625HHX,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_ZFP36_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR393TIN,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_ZBTB33_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR244EKM,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_YY1_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR917SJJ,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_USF2_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR172KKQ,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_USF1_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR615ZJM,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_TCF12_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR979YER,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_TBP_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR423DUS,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_TARDBP_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR570OKR,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_TAF1_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR031EUQ,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_SUZ12_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR762CQX,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_SP1_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR196SWT,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_SMC3_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR542MCK,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_SIN3A_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR637OSQ,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_RXRA_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR005XJA,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_RFX5_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR616FNM,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_REST_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR665MNL,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_RCOR1_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR429VFK,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_RAD21_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR807CEV,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_POLR2AphosphoS5_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR902BPS,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_POLR2A_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR348ZXG,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_NRF1_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR012FKC,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_MAZ_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR768EUU,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_MAX_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR664NQU,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_MAFK_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR311CUA,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_KDM1A_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR522XYD,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_JUND_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR597EUR,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_HDAC2_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR787KRK,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_H4K91ac_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR218UWZ,imputation,"Bill Noble, UW",released,2020-02-25,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_H4K8ac_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR970YHE,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_H4K20me1_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR226LJM,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_H3K9me3_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR250YIR,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_H3K9me2_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR468FTA,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_H3K9ac_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR754JZK,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_H3K79me2_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR543LZX,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_H3K79me1_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR845EEK,imputation,"Bill Noble, UW",released,2020-02-25,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_H3K4me3_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR704DRV,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_H3K4me2_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR834HLQ,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_H3K4me1_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR153EIT,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_H3K4ac_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR639ERG,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_H3K36me3_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR471MIR,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_H3K27me3_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR402SNV,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_H3K27ac_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR980UGN,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_H3K23ac_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR724ZMY,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_H3K18ac_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR648HQL,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_H3K14ac_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR350IMI,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_H3F3A_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR266KWR,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_H2BK5ac_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR334LCH,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_H2BK15ac_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR960UZX,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_H2BK12ac_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR912ZYE,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_H2BK120ac_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR970JKA,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_H2AK5ac_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR145ESQ,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_H2AFZ_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR280JGM,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_GTF2F1_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR683TPD,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_GABPA_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR831BIG,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_FOXK2_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR066JCY,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_FOXA1_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR914NDT,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_EZH2phosphoT487_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR078RRI,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_EZH2_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR868OMB,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_ETS1_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR437GZI,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_EP300_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR485QCF,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_ELK1_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR213SKG,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_ELF1_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR739LRT,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_EGR1_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR639KZJ,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_CTCF_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR061QZX,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_CHD2_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR538GIV,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_CEBPB_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR035JIV,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_BHLHE40_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR405CJR,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_ATF3_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR250KMI,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of CAGE_plus_strand_signal_of_all_reads in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR591JDV,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of CAGE_minus_strand_signal_of_all_reads in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR413HBK,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ATAC-seq_signal_p-value in GM12878 cytosolic fraction (J044) at 25bp resolution.
ENCSR076XOL,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of total_RNA-seq_plus_strand_signal_of_all_reads in GM12878 (J041) at 25bp resolution.
ENCSR945PKX,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of total_RNA-seq_minus_strand_signal_of_all_reads in GM12878 (J041) at 25bp resolution.
ENCSR320GTG,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,ENCODE v5; current,avocado:encode2018core-hg38 imputations of small_RNA-seq_plus_strand_signal_of_all_reads in GM12878 (J041) at 25bp resolution.
ENCSR351VJI,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of small_RNA-seq_minus_strand_signal_of_all_reads in GM12878 (J041) at 25bp resolution.
ENCSR372QZD,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of polyA_depleted_RNA-seq_plus_strand_signal_of_all_reads in GM12878 (J041) at 25bp resolution.
ENCSR879POR,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of polyA_depleted_RNA-seq_minus_strand_signal_of_all_reads in GM12878 (J041) at 25bp resolution.
ENCSR805JCN,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of polyA_RNA-seq_plus_strand_signal_of_all_reads in GM12878 (J041) at 25bp resolution.
ENCSR588UJL,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of polyA_RNA-seq_minus_strand_signal_of_all_reads in GM12878 (J041) at 25bp resolution.
ENCSR635MDK,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of microRNA-seq_plus_strand_signal_of_all_reads in GM12878 (J041) at 25bp resolution.
ENCSR902CDM,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of microRNA-seq_minus_strand_signal_of_all_reads in GM12878 (J041) at 25bp resolution.
ENCSR137SAA,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of RAMPAGE_plus_strand_signal_of_all_reads in GM12878 (J041) at 25bp resolution.
ENCSR897HHN,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of RAMPAGE_minus_strand_signal_of_all_reads in GM12878 (J041) at 25bp resolution.
ENCSR384BTO,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of DNase-seq_read-depth_normalized_signal in GM12878 (J041) at 25bp resolution.
ENCSR346INY,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_ZFP36_signal_p-value in GM12878 (J041) at 25bp resolution.
ENCSR510DQR,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_ZBTB33_signal_p-value in GM12878 (J041) at 25bp resolution.
ENCSR080CJF,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_YY1_signal_p-value in GM12878 (J041) at 25bp resolution.
ENCSR908GAX,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_USF2_signal_p-value in GM12878 (J041) at 25bp resolution.
ENCSR553HSP,imputation,"Bill Noble, UW",released,2020-02-21,GRCh38,current; ENCODE v5,avocado:encode2018core-hg38 imputations of ChIP-seq_USF1_signal_p-value in GM12878 (J041) at 25bp resolution.
